Target	Prediction
3581.599993950874	3513.772024439276
5603.825010472537	4391.379999101162
8106.750027048588	7963.436678871513
9753.749667137861	10125.934571254253
12716.50017423034	12228.221531784537
13705.99967573881	11522.421652102472
10113.749720114469	9822.86717182994
13962.750336712601	13189.014924305677
14842.249654734136	14080.368593025207
10893.750336796045	11842.912974590065
3453.5000177614393	3191.1929592691363
3549.3500393949453	4157.000792576373
3100.800006220117	2909.4569542475047
2653.0499920887873	2573.148710631207
2708.074998408556	2506.835566179827
3456.8500048704445	3506.5962500408295
3913.349975850433	5340.2399918437
4988.27508969903	5729.256703767181
4809.649952577055	3427.9631181642417
4031.1499509423975	4794.051310427487
3168.275030997396	2960.7695004865527
2894.3750013563786	3132.928516920656
3076.1249768666926	3251.9098993435505
3492.2750033915045	5900.52632393837
15000.0	15243.264887821675
15000.0	15208.1279479146
15000.0	14980.733104085924
15000.0	14916.345745807888
15000.0	14881.042426407337
15000.0	14963.146565771105
15000.0	14878.478977650404
15000.0	14720.017190659048
15000.0	14915.387369811535
15000.0	14950.774255383014
15000.0	14687.793021160363
15000.0	14831.352927184107
15000.0	14657.102403825524
15000.0	14752.15478259325
15000.0	13204.223967415095
12708.499654424191	13093.875215125085
13772.250333774089	12476.105897307396
9843.499734717607	11588.849982357027
11073.75036328435	11924.112943041324
8493.499912479521	9398.03633287549
8583.749871388078	9167.787440812588
7774.000074279309	8381.564532214405
7446.099970817567	7115.640559265018
7102.024919766188	7094.385390761495
7601.499923419953	7657.324384146929
7782.75005465448	8085.7094203352935
7469.5000043749815	7762.931320872904
7458.750082260371	8429.213812309503
7867.999971002341	8111.912308436633
4247.374971468747	3804.5405161932113
4392.225071415305	4982.365794499219
3852.2749622620645	4116.490397308768
3554.525025099516	3786.5706839434806
3601.700010710955	3218.1587651044133
3854.399970939756	3609.4478557772936
3767.174956849218	3864.6458610594273
4130.00007339716	4372.555966250598
4396.94994789064	4360.300911998749
4169.750091794133	4270.079561328888
4880.649954660237	4590.470754981041
5130.299937862158	4544.932461762428
5729.35005696714	5726.160991200805
5637.874837309122	5768.982631015778
5123.9750703528525	6213.089023640752
6522.799933654071	7782.9390195995575
3381.8749633051457	3383.422066739947
3755.6250392176216	3277.9933668695394
4944.425058987737	4381.804144045711
4693.900077748299	4236.479561403394
4529.500010894239	4535.717973932624
4664.200020678341	4748.3993371024735
5330.5999564632775	4608.30874465704
6351.1749690443285	6254.0353181242945
8452.750111424924	7384.71083123982
9903.25029978156	8335.019680702688
11310.75004683137	11674.010686171056
13611.99977901578	13513.554312568904
13132.250155943631	13258.670715594293
14053.250241285565	12641.439684373141
15000.0	14749.037990272045
14849.500337547066	15506.468212318421
13147.499852865934	12456.985053980352
2854.825005365163	2726.0255153918642
2690.3749917259443	2440.0323644816876
2792.1250155869875	2838.083539364487
2645.7249890241774	2350.6342064697296
2470.5500031364154	2390.066052317247
2309.7999981713947	2383.055810457841
2408.525000753254	2563.559398410842
2734.0500087138266	2988.615009661764
3125.9499887995426	3089.8217357791964
3387.5749666534366	3258.148189288378
3970.3499152272943	3659.9808275118476
4445.250065416098	4290.37691847235
3893.1500184670094	3827.106864268333
4207.074997325242	4615.597446313501
4023.8249243512755	4459.532916797698
4318.949961507321	4592.104247768224
10534.000229483843	9130.507894396782
4740.325038154424	4269.715747345985
6459.325027620793	5349.18401889056
